T_01,T_07,T_09,T_10,T_11,T_32,T_35,T_37,T_39,T_43,T_46,T_47,T_50,T_53,T_55,T_65,T_66,T_67,T_68,T_69,T_71,T_78,T_80,T_81,T_82,T_83,T_88,T_99,T_106,T_110,T_SC
5.28,0.4 ,0.52,0.46,0.23,12,0,0,27,0,1,0,0,0,0,0,0,0,1.04,1.03,0,0,0,0,0,2335.00 ,76.33 ,0.00 ,0,0,52.47
3.3,0.4 ,0.52,0.46,0.23,5,0,0,12,0,1,0,0,0,0,0,0,0,1.13,1.13,0,0,0,0,0,1952.00 ,94.33 ,0.00 ,0,0,57.11
3.96,1.8 ,1.3,0.46,0.23,12,1,0,16,4,3,1,0,0,0,0,0,106,1.88,1.79,0,7,1,1,0,3254.50 ,141.00 ,35.33 ,1,1,65.99
5.94,1.2 ,1.56,1.61,2.07,27,1,1,36,1,5,4,6,6,0,0,0,0,0.79,0.73,0,4,1,1,12,3070.50 ,-701.33 ,0.00 ,1,0,76.03
3.96,0.8 ,1.56,0.69,0.92,13,0,0,16,0,4,1,1,0,0,0,0,0,1.13,1.13,0,0,0,0,1,7068.00 ,572.33 ,0.00 ,0,0,63.34
1.98,1.0 ,1.04,0.23,0.23,6,0,0,4,3,2,0,0,0,0,0,25,27,1.88,1.79,0,0,0,0,0,1077.50 ,32.33 ,17.33 ,0,1,58.88
4.62,1.8 ,1.3,1.38,1.15,13,0,0,20,5,3,2,2,0,0,0,0,0,1.88,1.79,0,8,0,1,2,3085.00 ,279.33 ,0.00 ,1,0,74.65
5.28,1.8 ,1.04,1.38,1.15,6,1,0,28,5,3,1,2,1,0,0,0,0,1.88,1.79,0,8,1,1,3,261.50 ,2.67 ,0.00 ,1,0,75.35
1.98,1.2 ,2.34,1.61,0.69,24,1,0,5,2,12,1,1,1,0,174,28,8,0,6.54,1933.33,4,1,1,2,21.00 ,-315.67 ,70.00 ,1,1,74.17
1.98,1.8 ,2.6,1.15,1.38,54,1,0,5,5,46,1,2,4,0,6411,3882,522,0,1.57,641100,7,1,1,6,1.00 ,-5180.33 ,3605.00 ,1,1,69.14
2.64,0.4 ,0.52,1.38,0.69,4,1,0,7,0,1,0,1,1,0,0,0,0,0,6.54,0,0,1,1,8,1958.50 ,-8.00 ,0.00 ,0,0,59.92
4.62,1.4 ,1.56,0.92,0.69,25,1,0,21,4,8,3,1,4,0,327,247,149,5.16,5.13,8.77,6,1,1,9,2797.00 ,541.00 ,241.00 ,1,1,82.28
3.96,1.2 ,0.78,1.84,0.92,20,0,0,19,2,4,4,3,1,0,1,4,4,0,6.54,0.01,5,0,1,4,7958.00 ,928.33 ,3.00 ,1,1,67.35
3.96,1.0 ,0.78,1.38,0.23,8,0,0,17,3,2,0,0,0,0,108,125,71,0.94,1.04,2.6,0,0,1,0,4425.50 ,582.00 ,101.33 ,0,1,65.91
4.62,0.6 ,1.04,0.92,0.23,7,0,0,22,0,2,0,0,0,0,0,0,0,1,1.04,0,0,0,0,0,1142.50 ,-26.00 ,0.00 ,0,0,59.94
1.98,0.4 ,0.78,0.23,0.23,5,0,0,5,0,1,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,10941.50 ,1137.67 ,0.00 ,0,0,50.44
5.28,0.8 ,1.04,1.61,0.92,5,0,0,26,0,2,0,1,0,0,0,0,0,0,1.04,0,0,0,0,1,2584.00 ,1015.33 ,0.00 ,0,0,73.05
4.62,1.4 ,0.78,0.23,0.92,6,0,0,21,3,1,0,1,0,0,0,0,0,0,1.04,0,6,0,1,1,1840.50 ,159.67 ,0.00 ,1,0,57.5
5.28,0.4 ,1.56,0.23,0.23,67,0,0,27,0,4,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,16462.00 ,138.33 ,0.00 ,0,0,63.65
5.94,0.4 ,1.04,0.92,0.23,24,0,0,32,0,2,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,6239.50 ,356.33 ,0.00 ,0,0,56.91
4.62,1.0 ,1.04,1.61,1.15,4,1,0,23,3,2,1,2,0,0,0,57,55,0,1.04,0,0,1,1,5,873.00 ,133.00 ,37.33 ,0,1,63.66
0.66,0.4 ,0.78,0.92,0.23,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,2098.50 ,60.33 ,0.00 ,0,0,51.95
5.28,1.0 ,1.04,0.23,0.23,8,0,0,25,3,2,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,4333.50 ,325.33 ,0.00 ,0,0,62.04
3.96,1.4 ,0.78,1.15,0.69,10,0,1,16,4,2,1,0,6,0,70,0,0,0,1.04,3.24,6,1,1,6,2255.00 ,91.33 ,23.33 ,1,1,54.66
5.94,1.2 ,1.82,1.84,1.61,22,0,0,32,2,4,3,4,0,0,0,273,0,1.04,1.03,0,5,0,1,4,9708.00 ,456.67 ,91.00 ,1,1,78.05
